Timestamp: 2023-06-19T11:10:27+08:00
Carpark Number,Total Lots,Lots Available
HE12,105,41
HLM,583,42
RHM,329,143
BM29,97,0
Q81,96,0
C20,167,0
FR3M,228,128
C32,289,211
C6,332,143
TG2,273,120
BP1,543,293
TG1,133,98
TGM2,189,140
TE14,134,77
BM3,48,20
BM9,612,121
HG44,155,0
HG64,82,22
PM27,326,233
PM28,305,170
TM36,225,141
TM37,244,159
T50,350,216
T51,346,188
TM43,247,179
T15,30,14
T16,109,47
T17,228,90
T18,81,4
B9,213,106
B10,516,314
B14,208,61
WCB,143,26
ACB,93,2
CY,28,0
AM46,408,211
A12,194,131
BE45,363,193
BE39,707,417
BE40,339,201
Y79M,453,337
CR29,56,0
KLM,345,178
SE34,270,153
KB7,65,8
SE31,187,85
J56,15,0
J57,362,147
J57L,13,0
J33,129,67
J34,123,94
BL8,679,382
J36,482,288
J54,226,107
J55,141,92
J43,190,141
J46,63,7
KB1,239,74
GBM,677,442
SE14,187,102
SE50,591,473
J40,206,75
JM1,268,181
J32,199,127
A11,368,190
TR1,391,187
JBM,342,266
TE2,213,168
CR31,93,22
J1,368,228
J2,200,136
J3,308,240
T37,1163,734
KB3,149,64
KBM,239,174
J4,172,81
TGM1,388,317
TG3,208,142
TG6,176,115
TG7,362,172
CR30,54,18
RCM,151,71
EPM,286,75
TGM3,553,379
KB14,58,0
J41,350,223
JBM2,144,49
J39,250,136
J52,626,373
J51,655,506
J53,215,143
T19,881,572
J49,922,752
J27,291,156
TB14,43,13
U19,501,133
U6,95,0
U45,159,69
BBM7,175,135
BE12,459,198
HG41,461,257
HG43,487,329
MN1,257,147
MNRM,355,241
MN2,303,179
C7,459,213
C17,66,11
C20M,550,436
T41,202,22
T42,86,0
TM42,261,196
J48,745,503
BH1,57,0
BH2,47,0
BKE7,172,122
BR5,152,68
BRM3,406,292
BRM4,176,87
M16,124,57
M20,36,20
M35,91,51
M36,17,4
M37,35,16
M38,39,16
MM3,222,153
MP12,220,52
MP13,396,222
MP1M,522,352
PP1,257,130
PP2,192,123
PP3,345,186
PP4,166,74
PP5,346,216
TP10,83,61
TP14,53,32
TP16,668,397
TP17,119,42
TP18,383,200
TP2,85,12
TPMG,116,81
TP36,250,124
TPM4,343,220
TPM5,342,247
TPM6,358,235
TP27,257,125
TPMN,645,382
TPMP,808,478
WDB1,75,38
Y23,823,523
Y24,181,122
Y56,45,1
BBM1,406,328
BBM8,329,200
BJ10,310,211
BJ11,100,49
BJ12,550,370
BJ17,172,123
BJ18,324,235
BJ28,669,525
BJ3,1054,660
BJ33,366,297
BJ42,450,272
BJ45,232,175
SK44,10,0
U48,93,63
U5,101,81
JM14,493,378
JM12,468,373
W39,210,86
PL67,735,553
SK40,10,0
U9,400,221
U26,595,360
U25,625,423
U24T,46,30
U24,364,227
U23,713,505
U22,495,333
U21,313,201
U2,1109,654
