Carpark Number,Carpark Type,Type of Parking System,Address
ACB,BASEMENT CAR PARK,ELECTRONIC PARKING,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK
ACM,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 98A ALJUNIED CRESCENT
AH1,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 101 JALAN DUSUN
AK19,SURFACE CAR PARK,COUPON PARKING,BLOCK 253 ANG MO KIO STREET 21
AK31,SURFACE CAR PARK,COUPON PARKING,BLK 302/348 ANG MO KIO STREET 31
AK52,SURFACE CAR PARK,COUPON PARKING,BLK 513 ANG MO KIO STREET 53
AK6,SURFACE CAR PARK,COUPON PARKING,BLK 728 ANG MO KIO AVENUE 6
AK83,SURFACE CAR PARK,COUPON PARKING,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2
AK9,SURFACE CAR PARK,COUPON PARKING,ANG MO KIO AVENUE 9
AM14,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 227 ANG MO KIO STREET 23
AM16,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 256A ANG MO KIO STREET 21
AM18,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 308C ANG MO KIO AVENUE 1
AM19,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 260 ANG MO KIO STREET 21
AM20,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 309B ANG MO KIO STREET 31
AM22,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 316B ANG MO KIO STREET 31
AM32,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 255A ANG MO KIO STREET 21
AM43,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 455 ANG MO KIO STREET 44
AM46,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 588 ANG MO KIO STREET 52
AM51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 700 ANG MO KIO AVENUE 6
AM64,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 590 ANG MO KIO STREET 51
AM79,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 596 ANG MO KIO STREET 52
AM80,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 130A ANG MO KIO STREET 12
AM81,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 132A ANG MO KIO STREET 12
AM96,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 352A ANG MO KIO STREET 32
AR1L,SURFACE CAR PARK,ELECTRONIC PARKING,3 AND 5 DOVER ROAD
AR1M,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 2A DOVER ROAD
AR2L,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 26 AND 27 DOVER CRESCENT
AR2M,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 28 DOVER CRESCENT
AR5M,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 19A DOVER CRESCENT
AR7L,SURFACE CAR PARK,ELECTRONIC PARKING,12 TO 14 DOVER CLOSE EAST
AR7M,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 12A DOVER CLOSE EAST
AR9,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 20/22/23 DOVER CRESCENT
AV1,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 120/120A/121-127 ALEXANDRA VILLAGE
AV2,SURFACE CAR PARK,COUPON PARKING,BLK 1001/1010 BUKIT MERAH LANE 1/3
A1,SURFACE CAR PARK,COUPON PARKING,BLK 215 ANG MO KIO STREET 22
A10,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 201/202 ANG MO KIO STREET 22
A100,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 650 ANG MO KIO STREET 61
A11,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 223/226/226A-226D ANG MO KIO STREET 22
A12,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 229/230 ANG MO KIO STREET 22
A13,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 232/233 ANG MO KIO STREET 22
A15,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 226E-226H ANG MO KIO STREET 22
A2,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 206/207 ANG MO KIO STREET 22
A20,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 304/307/319 ANG MO KIO STREET 31
A21,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 325/326/301 ANG MO KIO STREET 31
A23,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 347A ANG MO KIO AVENUE 3
A24,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 338/340 ANG MO KIO STREET 32
A25,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 330/337 ANG MO KIO AVENUE 8
A26,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 113/114/118 ANG MO KIO AVENUE 4
A27,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 108/109/110 ANG MO KIO STREET 11
A28,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 103/105/107 ANG MO KIO STREET 11
A29,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 347 ANG MO KIO AVENUE 3
A30,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 129/134 ANG MO KIO STREET 12
A30A,SURFACE CAR PARK,COUPON PARKING,BLK 133 ANG MO KIO STREET 12
A31,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 119/128 ANG MO KIO STREET 12
A31A,SURFACE CAR PARK,COUPON PARKING,BLK 125/126 ANG MO KIO STREET 12
A33,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 253/254 ANG MO KIO STREET 21
A34,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 422/425 ANG MO KIO STREET 42
A35,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 426/428/435 ANG MO KIO STREET 43
A36,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 436/443/445 ANG MO KIO STREET 43
A37,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 446/449/453 ANG MO KIO STREET 43
A38,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 407/410/421 ANG MO KIO AVENUE 10
A39,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 401/405 ANG MO KIO AVENUE 10
A4,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 217/220 ANG MO KIO AVENUE 1
A40,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 471/476 ANG MO KIO STREET 44
A41,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 466/470 ANG MO KIO STREET 44
A42,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 461/465 ANG MO KIO STREET 44
A43,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 457/458/460 ANG MO KIO STREET 44
A44,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 459/456 ANG MO KIO STREET 44
A45,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 570/578 ANG MO KIO STREET 51
A47,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 562/565/560 ANG MO KIO STREET 54
A48,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 571/73 ANG MO KIO STREET 51
A49,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 555/559 ANG MO KIO STREET 54
A50,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 548/552/556 ANG MO KIO STREET 54
A51,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 252/253A ANG MO KIO STREET 21
A52,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 701/716 ANG MO KIO AVENUE 3/6
A52L,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 700B/ 700C ANG MO KIO AVENUE 3/6
A53,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 712A ANG MO KIO AVENUE 3/6
A54,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 727/728 ANG MO KIO AVENUE 6
A55,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 729/730 ANG MO KIO AVENUE 6/8
A56,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 725/730 ANG MO KIO AVENUE 8
A57,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 720/723 ANG MO KIO AVENUE 8
A58,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 721/722 ANG MO KIO AVENUE 8
A59,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 547/551 ANG MO KIO STREET 54
A60,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 540/546 ANG MO KIO STREET 54
A61,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 520/534/529 ANG MO KIO AVENUE 5/10
A63,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 501/513/508 ANG MO KIO STREET 52/53
A64,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 584/586 ANG MO KIO STREET 51
A65,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 558/560 ANG MO KIO STREET 54
A66,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 601/604/603 ANG MO KIO AVENUE 5
A67,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 605/612 ANG MO KIO AVENUE 4/5
A68,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 620/624/626 ANG MO KIO STREET 61
A69,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 623/625/627 ANG MO KIO STREET 61
A7,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 212/213 ANG MO KIO STREET 23
A70,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 629/626 ANG MO KIO AVENUE 4
A71,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 628/632 ANG MO KIO STREET 61
A72,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 633/640 ANG MO KIO STREET 61
A73,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 641/645 ANG MO KIO STREET 61
A74,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 646/649 ANG MO KIO STREET 61
A75,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 177/182 ANG MO KIO AVENUE 4
A76,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 613A ANG MO KIO AVENUE 4
A77,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 150/156 ANG MO KIO AVENUE 5
A78,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 157/163 ANG MO KIO AVENUE 4
A8,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 209/210 ANG MO KIO STREET 22
A81,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 170/172 ANG MO KIO STREET 13
A82,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 173/176 ANG MO KIO AVENUE 4
A83,SURFACE CAR PARK,COUPON PARKING,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2
A85,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 340 ANG MO KIO STREET 32
A86,SURFACE CAR PARK,COUPON PARKING,BLK 4001-4003/4026-4028/4033-4035 ANG MO KIO INDUSTRIAL PARK 1
A87,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 462/463 ANG MO KIO STREET 44
A88,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 348 ANG MO KIO AVENUE 3
A89,SURFACE CAR PARK,COUPON PARKING,BLK 101/102 ANG MO KIO STREET 11
A9,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 202/203 ANG MO KIO STREET 22
A90,SURFACE CAR PARK,COUPON PARKING,BLK 625/627 ANG MO KIO STREET 61
A94,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 104C ANG MO KIO STREET 11
A95,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 323A ANG MO KIO AVENUE 3
A98,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 259 ANG MO KIO AVENUE 2
A99,SURFACE CAR PARK,COUPON PARKING,BLK 181 ANG MO KIO AVENUE 5
BA1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 106 BIDADARI PARK DRIVE
BA2,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 117 ALKAFF CRESCENT
BA3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 101 BIDADARI PARK DRIVE
